Informations,Time,CO2 PS,MeOH,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Power_to_the_grid,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Electricity consumption
Scenario: MeOH-AEC,1,10194.593344003479,6982.5981808243005,15956.212565581907,1388.190493205626,1388.1904932056264,0.0,14679.281551353572,11022.23251605267,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,74205.82780618542,-0.0,0.0,-0.0,0.0,0.0,74205.8278061854
Profile: 2018,2,7906.886562740425,5415.6757279044,12375.575804722013,1076.675095010815,1076.675095010815,0.0,11385.193124682362,8548.800254385873,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,57553.74863509192,-0.0,0.0,0.0,0.0,-0.0,57553.74863509191
Location: Bornholm,3,12242.805821603057,8385.483439454149,19162.00141553929,1667.094123151918,1667.0941231519182,0.0,17628.520095857642,13236.727337826229,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,89114.64243905508,-0.0,0.0,0.0,0.0,-0.0,89114.64243905508
Fuel: MeOH,4,15527.80977782297,10635.486149193815,24303.57201433654,2114.410765247279,2114.4107652472794,0.0,22358.62519603083,16788.421476063395,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,113025.98737379715,-0.0,0.0,0.0,0.0,-0.0,113025.98737379715
Electrolyser: AEC,5,31012.72505349726,21241.592502395382,48540.007089406965,4222.980616778405,4222.980616778405,0.0,44655.48623406157,33530.46609722054,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,225739.7482631363,-0.0,0.0,0.0,0.0,-0.0,225739.7482631363
CO2 capture: PS,6,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,280.605540595373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,1833.7110991978434,245345.58909672135
 ,7,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,561.211081190746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,3667.422198395687,245345.58909672135
 ,8,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,841.816621786119,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,5501.13329759353,245345.58909672135
 ,9,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,1122.422162381492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,7334.844396791374,245345.58909672135
 ,10,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,1403.027702976865,-0.0,15434.810467828092,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,16533.530592367453,0.0,23868.374989158827,246080.5800713798
