Technology,Phase,Functional Unit,Ecoinvent Database Type,Method Family,Impact Category,Score,Impact Unit
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,acidification,14879.972966106929,mol H+-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,climate change,2313314.6087269783,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,climate change: biogenic,6866.508258928642,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,climate change: fossil,2301903.8175089355,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,climate change: land use and land use change,4544.2829591134705,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,ecotoxicity: freshwater,17687549.878890947,CTUe
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",17379075.39279658,CTUe
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, organics",308474.4860943618,CTUe
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,energy resources: non-renewable,28823158.254502423,"MJ, net calorific value"
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: freshwater,1176.1410119515763,kg P-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: marine,2569.0271111492166,kg N-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: terrestrial,27548.04039803163,mol N-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: carcinogenic,0.0013519448339977139,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",0.0006137993783747954,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, organics",0.0007381454556229187,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: non-carcinogenic,0.0728820388555103,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",0.07042366362426185,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",0.0024583752312484744,CTUh
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,ionising radiation: human health,175738.749284414,kBq U235-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,land use,344470008.14271224,dimensionless
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,material resources: metals/minerals,96.70110214227024,kg Sb-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,ozone depletion,0.22011115044335178,kg CFC-11-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,particulate matter formation,0.17198201105217897,disease incidence
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,photochemical oxidant formation: human health,9753.652592071554,kg NMVOC-Eq
Elec_PV,Infra,MW,ecoinvent-cutoff-3.11,EF v3.1,water use,3416766.4678979726,m3 world Eq deprived
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,acidification,8316.510290182114,mol H+-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,climate change,2330890.055500985,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,climate change: biogenic,5227.687075452312,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,climate change: fossil,2323305.2878540955,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,climate change: land use and land use change,2357.080571437204,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,ecotoxicity: freshwater,15120240.829047311,CTUe
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",14870613.820015267,CTUe
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, organics",249627.00903204727,CTUe
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,energy resources: non-renewable,29272699.150189064,"MJ, net calorific value"
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,eutrophication: freshwater,821.0968851163442,kg P-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,eutrophication: marine,2451.1723907722376,kg N-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,eutrophication: terrestrial,27659.27410242278,mol N-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,human toxicity: carcinogenic,0.001633340082903028,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",0.0007055568741771694,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, organics",0.0009277832087258584,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,human toxicity: non-carcinogenic,0.07550694967121126,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",0.07141110452113532,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",0.004095845150075934,CTUh
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,ionising radiation: human health,76713.47234732617,kBq U235-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,land use,346424496.43849015,dimensionless
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,material resources: metals/minerals,197.02337122052282,kg Sb-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,ozone depletion,0.22512502878874413,kg CFC-11-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,particulate matter formation,0.15071827140161687,disease incidence
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,photochemical oxidant formation: human health,9486.68878386457,kg NMVOC-Eq
Elec_PV,Infra,MW,ecoinvent-consequential-3.11,EF v3.1,water use,3004119.7720477246,m3 world Eq deprived
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,acidification,13569.769769204711,mol H+-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,climate change,2156831.4498771867,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,climate change: biogenic,7571.51995144116,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,climate change: fossil,2144848.5178378653,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,climate change: land use and land use change,4411.412087879881,kg CO2-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,ecotoxicity: freshwater,17045549.70912919,CTUe
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",16453578.719287438,CTUe
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,"ecotoxicity: freshwater, organics",591970.9898417465,CTUe
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,energy resources: non-renewable,26641632.20211703,"MJ, net calorific value"
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,eutrophication: freshwater,1116.2250128319943,kg P-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,eutrophication: marine,2393.2977937698097,kg N-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,eutrophication: terrestrial,25144.21064406727,mol N-Eq
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,human toxicity: carcinogenic,0.0012127397354436702,CTUh
Elec_PV,Infra,MW,ecoinvent-apos-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",0.0005603903254193011,CTUh
